t,id,x,y,r
2,0,-4.29658,18.0595,0.250993
2.01,0,-4.27821,18.0534,0.250993
2.02,0,-4.25983,18.0473,0.250993
2.03,0,-4.24144,18.0413,0.250993
2.04,0,-4.22304,18.0352,0.250993
2.05,0,-4.20463,18.0291,0.250993
2.06,0,-4.18622,18.023,0.250993
2.07,0,-4.16779,18.0169,0.250993
2.08,0,-4.14936,18.0107,0.250993
2.09,0,-4.13091,18.0046,0.250993
2.1,0,-4.11246,17.9985,0.250993
2.11,0,-4.094,17.9924,0.250993
2.12,0,-4.07553,17.9863,0.250993
2.13,0,-4.05705,17.9802,0.250993
2.14,0,-4.03857,17.974,0.250993
2.15,0,-4.02007,17.9679,0.250993
2.16,0,-4.00157,17.9618,0.250993
2.17,0,-3.98306,17.9557,0.250993
2.18,0,-3.96454,17.9495,0.250993
2.19,0,-3.94602,17.9434,0.250993
2.2,0,-3.92749,17.9372,0.250993
2.21,0,-3.90895,17.9311,0.250993
2.22,0,-3.8904,17.925,0.250993
2.23,0,-3.87185,17.9188,0.250993
2.24,0,-3.85328,17.9127,0.250993
2.25,0,-3.83472,17.9065,0.250993
2.26,0,-3.81614,17.9004,0.250993
2.27,0,-3.79756,17.8942,0.250993
2.28,0,-3.77897,17.888,0.250993
2.29,0,-3.76038,17.8819,0.250993
2.3,0,-3.74178,17.8757,0.250993
2.31,0,-3.72318,17.8695,0.250993
2.32,0,-3.70457,17.8634,0.250993
2.33,0,-3.68595,17.8572,0.250993
2.34,0,-3.66733,17.851,0.250993
2.35,0,-3.6487,17.8449,0.250993
2.36,0,-3.63006,17.8387,0.250993
2.37,0,-3.61143,17.8325,0.250993
2.38,0,-3.59278,17.8263,0.250993
2.39,0,-3.57413,17.8202,0.250993
2.4,0,-3.55548,17.814,0.250993
2.41,0,-3.53682,17.8078,0.250993
2.42,0,-3.51815,17.8016,0.250993
2.43,0,-3.49948,17.7954,0.250993
2.44,0,-3.48081,17.7892,0.250993
2.45,0,-3.46213,17.7831,0.250993
2.46,0,-3.44344,17.7769,0.250993
2.47,0,-3.42475,17.7707,0.250993
2.48,0,-3.40606,17.7645,0.250993
2.49,0,-3.38736,17.7583,0.250993
2.5,0,-3.36866,17.7521,0.250993
2.51,0,-3.34996,17.7459,0.250993
2.52,0,-3.33124,17.7397,0.250993
2.53,0,-3.31253,17.7335,0.250993
2.54,0,-3.29381,17.7273,0.250993
2.55,0,-3.27509,17.7211,0.250993
2.56,0,-3.25636,17.7149,0.250993
2.57,0,-3.23763,17.7087,0.250993
2.58,0,-3.2189,17.7025,0.250993
2.59,0,-3.20016,17.6963,0.250993
2.6,0,-3.18142,17.69,0.250993
2.61,0,-3.16267,17.6838,0.250993
2.62,0,-3.14392,17.6776,0.250993
2.63,0,-3.12517,17.6714,0.250993
2.64,0,-3.10642,17.6652,0.250993
2.65,0,-3.08766,17.659,0.250993
2.66,0,-3.0689,17.6528,0.250993
2.67,0,-3.05013,17.6465,0.250993
2.68,0,-3.03136,17.6403,0.250993
2.69,0,-3.01259,17.6341,0.250993
2.7,0,-2.99382,17.6279,0.250993
2.71,0,-2.97504,17.6217,0.250993
2.72,0,-2.95626,17.6154,0.250993
2.73,0,-2.93748,17.6092,0.250993
2.74,0,-2.91869,17.603,0.250993
2.75,0,-2.8999,17.5968,0.250993
2.76,0,-2.88111,17.5905,0.250993
2.77,0,-2.86232,17.5843,0.250993
2.78,0,-2.84352,17.5781,0.250993
2.79,0,-2.82472,17.5719,0.250993
2.8,0,-2.80592,17.5656,0.250993
2.81,0,-2.78711,17.5594,0.250993
2.82,0,-2.76831,17.5532,0.250993
2.83,0,-2.7495,17.5469,0.250993
2.84,0,-2.73068,17.5407,0.250993
2.85,0,-2.71187,17.5345,0.250993
2.86,0,-2.69305,17.5282,0.250993
2.87,0,-2.67424,17.522,0.250993
2.88,0,-2.65541,17.5158,0.250993
2.89,0,-2.63659,17.5095,0.250993
2.9,0,-2.61776,17.5033,0.250993
2.91,0,-2.59894,17.4971,0.250993
2.92,0,-2.58011,17.4908,0.250993
2.93,0,-2.56128,17.4846,0.250993
2.94,0,-2.54244,17.4784,0.250993
2.95,0,-2.52361,17.4721,0.250993
2.96,0,-2.50477,17.4659,0.250993
2.97,0,-2.48593,17.4596,0.250993
2.98,0,-2.46709,17.4534,0.250993
2.99,0,-2.44825,17.4471,0.250993
3,0,-2.4294,17.4409,0.250993
3.01,0,-2.41056,17.4347,0.250993
3.02,0,-2.39171,17.4284,0.250993
3.03,0,-2.37286,17.4222,0.250993
3.04,0,-2.35401,17.4159,0.250993
3.05,0,-2.33515,17.4097,0.250993
3.06,0,-2.3163,17.4034,0.250993
3.07,0,-2.29744,17.3972,0.250993
3.08,0,-2.27858,17.3909,0.250993
3.09,0,-2.25972,17.3847,0.250993
3.1,0,-2.24086,17.3785,0.250993
3.11,0,-2.22199,17.3722,0.250993
3.12,0,-2.20313,17.366,0.250993
3.13,0,-2.18426,17.3597,0.250993
3.14,0,-2.1654,17.3535,0.250993
3.15,0,-2.14653,17.3472,0.250993
3.16,0,-2.12766,17.341,0.250993
3.17,0,-2.10878,17.3347,0.250993
3.18,0,-2.08991,17.3285,0.250993
3.19,0,-2.07103,17.3222,0.250993
3.2,0,-2.05216,17.316,0.250993
3.21,0,-2.03328,17.3097,0.250993
3.22,0,-2.0144,17.3035,0.250993
3.23,0,-1.99552,17.2972,0.250993
3.24,0,-1.97664,17.2909,0.250993
3.25,0,-1.95776,17.2847,0.250993
3.26,0,-1.93887,17.2784,0.250993
3.27,0,-1.91999,17.2722,0.250993
3.28,0,-1.9011,17.2659,0.250993
3.29,0,-1.88221,17.2597,0.250993
3.3,0,-1.86332,17.2534,0.250993
3.31,0,-1.84443,17.2472,0.250993
3.32,0,-1.82554,17.2409,0.250993
3.33,0,-1.80665,17.2347,0.250993
3.34,0,-1.78776,17.2284,0.250993
3.35,0,-1.76886,17.2221,0.250993
3.36,0,-1.74997,17.2159,0.250993
3.37,0,-1.73107,17.2096,0.250993
3.38,0,-1.71217,17.2034,0.250993
3.39,0,-1.69327,17.1971,0.250993
3.4,0,-1.67437,17.1909,0.250993
3.41,0,-1.65547,17.1846,0.250993
3.42,0,-1.63657,17.1783,0.250993
3.43,0,-1.61767,17.1721,0.250993
3.44,0,-1.59877,17.1658,0.250993
3.45,0,-1.57986,17.1596,0.250993
3.46,0,-1.56096,17.1533,0.250993
3.47,0,-1.54205,17.1471,0.250993
3.48,0,-1.52314,17.1408,0.250993
3.49,0,-1.50424,17.1345,0.250993
3.5,0,-1.48533,17.1283,0.250993
3.51,0,-1.46642,17.122,0.250993
3.52,0,-1.44751,17.1158,0.250993
3.53,0,-1.4286,17.1095,0.250993
3.54,0,-1.40969,17.1032,0.250993
3.55,0,-1.39078,17.097,0.250993
3.56,0,-1.37186,17.0907,0.250993
3.57,0,-1.35295,17.0845,0.250993
3.58,0,-1.33404,17.0782,0.250993
3.59,0,-1.31512,17.072,0.250993
3.6,0,-1.2962,17.0657,0.250993
3.61,0,-1.27729,17.0594,0.250993
3.62,0,-1.25837,17.0532,0.250993
3.63,0,-1.23945,17.0469,0.250993
3.64,0,-1.22053,17.0407,0.250993
3.65,0,-1.20162,17.0344,0.250993
3.66,0,-1.1827,17.0281,0.250993
3.67,0,-1.16377,17.0219,0.250993
3.68,0,-1.14485,17.0156,0.250993
3.69,0,-1.12593,17.0094,0.250993
3.7,0,-1.10701,17.0031,0.250993
3.71,0,-1.08809,16.9968,0.250993
3.72,0,-1.06916,16.9906,0.250993
3.73,0,-1.05024,16.9843,0.250993
3.74,0,-1.03131,16.9781,0.250993
3.75,0,-1.01239,16.9718,0.250993
3.76,0,-0.993458,16.9655,0.250993
3.77,0,-0.974531,16.9593,0.250993
3.78,0,-0.955603,16.953,0.250993
3.79,0,-0.936674,16.9468,0.250993
3.8,0,-0.917744,16.9405,0.250993
3.81,0,-0.898814,16.9342,0.250993
3.82,0,-0.879883,16.928,0.250993
3.83,0,-0.860952,16.9217,0.250993
3.84,0,-0.84202,16.9155,0.250993
3.85,0,-0.823088,16.9092,0.250993
3.86,0,-0.804155,16.9029,0.250993
3.87,0,-0.785221,16.8967,0.250993
3.88,0,-0.766287,16.8904,0.250993
3.89,0,-0.747353,16.8841,0.250993
3.9,0,-0.728417,16.8779,0.250993
3.91,0,-0.709481,16.8716,0.250993
3.92,0,-0.690545,16.8654,0.250993
3.93,0,-0.671608,16.8591,0.250993
3.94,0,-0.652671,16.8528,0.250993
3.95,0,-0.633733,16.8466,0.250993
3.96,0,-0.614794,16.8403,0.250993
3.97,0,-0.595855,16.8341,0.250993
3.98,0,-0.576916,16.8278,0.250993
3.99,0,-0.557976,16.8215,0.250993
4,0,-0.539035,16.8153,0.250993
4.01,0,-0.520094,16.809,0.250993
4.02,0,-0.501153,16.8028,0.250993
4.03,0,-0.482211,16.7965,0.250993
4.04,0,-0.463268,16.7903,0.250993
4.05,0,-0.444325,16.784,0.250993
4.06,0,-0.425382,16.7777,0.250993
4.07,0,-0.406437,16.7715,0.250993
4.08,0,-0.387493,16.7652,0.250993
4.09,0,-0.368548,16.759,0.250993
4.1,0,-0.349602,16.7527,0.250993
4.11,0,-0.330656,16.7464,0.250993
4.12,0,-0.31171,16.7402,0.250993
4.13,0,-0.292763,16.7339,0.250993
4.14,0,-0.273816,16.7277,0.250993
4.15,0,-0.254868,16.7214,0.250993
4.16,0,-0.235919,16.7152,0.250993
4.17,0,-0.21697,16.7089,0.250993
4.18,0,-0.198021,16.7026,0.250993
4.19,0,-0.179071,16.6964,0.250993
4.2,0,-0.160121,16.6901,0.250993
4.21,0,-0.14117,16.6839,0.250993
4.22,0,-0.122219,16.6776,0.250993
4.23,0,-0.103267,16.6714,0.250993
4.24,0,-0.0843147,16.6651,0.250993
4.25,0,-0.0653622,16.6588,0.250993
4.26,0,-0.0464092,16.6526,0.250993
4.27,0,-0.0274555,16.6463,0.250993
4.28,0,-0.00850163,16.6401,0.250993
4.29,0,0.0104527,16.6338,0.250993
4.3,0,0.0294076,16.6276,0.250993
4.31,0,0.0483631,16.6213,0.250993
4.32,0,0.0673189,16.6151,0.250993
4.33,0,0.086275,16.6088,0.250993
4.34,0,0.105232,16.6026,0.250993
4.35,0,0.124189,16.5963,0.250993
4.36,0,0.143147,16.59,0.250993
4.37,0,0.162105,16.5838,0.250993
4.38,0,0.181063,16.5775,0.250993
4.39,0,0.200023,16.5713,0.250993
4.4,0,0.218982,16.565,0.250993
4.41,0,0.237942,16.5588,0.250993
4.42,0,0.256903,16.5525,0.250993
4.43,0,0.275865,16.5463,0.250993
4.44,0,0.294827,16.54,0.250993
4.45,0,0.313789,16.5338,0.250993
4.46,0,0.332752,16.5275,0.250993
4.47,0,0.351715,16.5213,0.250993
4.48,0,0.370679,16.515,0.250993
4.49,0,0.389644,16.5088,0.250993
4.5,0,0.408609,16.5025,0.250993
4.51,0,0.427574,16.4963,0.250993
4.52,0,0.44654,16.49,0.250993
4.53,0,0.465506,16.4838,0.250993
4.54,0,0.484473,16.4775,0.250993
4.55,0,0.50344,16.4713,0.250993
4.56,0,0.522407,16.465,0.250993
4.57,0,0.541375,16.4588,0.250993
4.58,0,0.560343,16.4525,0.250993
4.59,0,0.579312,16.4463,0.250993
4.6,0,0.598281,16.44,0.250993
4.61,0,0.617251,16.4338,0.250993
4.62,0,0.636222,16.4276,0.250993
4.63,0,0.655193,16.4213,0.250993
4.64,0,0.674165,16.4151,0.250993
4.65,0,0.693138,16.4088,0.250993
4.66,0,0.712111,16.4026,0.250993
4.67,0,0.731084,16.3963,0.250993
4.68,0,0.750059,16.3901,0.250993
4.69,0,0.769033,16.3838,0.250993
4.7,0,0.788009,16.3776,0.250993
4.71,0,0.806984,16.3714,0.250993
4.72,0,0.82596,16.3651,0.250993
4.73,0,0.844937,16.3589,0.250993
4.74,0,0.863914,16.3526,0.250993
4.75,0,0.882892,16.3464,0.250993
4.76,0,0.90187,16.3402,0.250993
4.77,0,0.920848,16.3339,0.250993
4.78,0,0.939827,16.3277,0.250993
4.79,0,0.958806,16.3214,0.250993
4.8,0,0.977785,16.3152,0.250993
4.81,0,0.996765,16.309,0.250993
4.82,0,1.01575,16.3027,0.250993
4.83,0,1.03473,16.2965,0.250993
4.84,0,1.05371,16.2903,0.250993
4.85,0,1.07269,16.284,0.250993
4.86,0,1.09167,16.2778,0.250993
4.87,0,1.11066,16.2715,0.250993
4.88,0,1.12964,16.2653,0.250993
4.89,0,1.14862,16.2591,0.250993
4.9,0,1.16761,16.2528,0.250993
4.91,0,1.1866,16.2466,0.250993
4.92,0,1.20558,16.2404,0.250993
4.93,0,1.22457,16.2341,0.250993
4.94,0,1.24356,16.2279,0.250993
4.95,0,1.26255,16.2217,0.250993
4.96,0,1.28154,16.2155,0.250993
4.97,0,1.30053,16.2092,0.250993
4.98,0,1.31952,16.203,0.250993
4.99,0,1.33851,16.1968,0.250993
5,0,1.3575,16.1905,0.250993
5.01,0,1.3765,16.1843,0.250993
5.02,0,1.39549,16.1781,0.250993
5.03,0,1.41448,16.1718,0.250993
5.04,0,1.43348,16.1656,0.250993
5.05,0,1.45247,16.1594,0.250993
5.06,0,1.47147,16.1532,0.250993
5.07,0,1.49046,16.1469,0.250993
5.08,0,1.50946,16.1407,0.250993
5.09,0,1.52846,16.1345,0.250993
5.1,0,1.54746,16.1283,0.250993
5.11,0,1.56646,16.1221,0.250993
5.12,0,1.58546,16.1158,0.250993
5.13,0,1.60446,16.1096,0.250993
5.14,0,1.62346,16.1034,0.250993
5.15,0,1.64246,16.0972,0.250993
5.16,0,1.66146,16.091,0.250993
5.17,0,1.68047,16.0847,0.250993
5.18,0,1.69947,16.0785,0.250993
5.19,0,1.71848,16.0723,0.250993
5.2,0,1.73748,16.0661,0.250993
5.21,0,1.75649,16.0599,0.250993
5.22,0,1.7755,16.0536,0.250993
